Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Armchair (each) (product.metafields.custom.dim_armchair),ASIN code (product.metafields.custom.dim_asin_code),Assembly (product.metafields.custom.dim_assembly),Colour (product.metafields.custom.dim_colour),Cushion fill (product.metafields.custom.dim_cushion_fill),Folding (product.metafields.custom.dim_folding),Frame (product.metafields.custom.dim_frame),Item weight (product.metafields.custom.dim_item_weight),Leg length (product.metafields.custom.dim_leg_length),Number of cabinets (product.metafields.custom.dim_number_of_cabinets),Number of drawers (product.metafields.custom.dim_number_of_drawers),Number of shelves (product.metafields.custom.dim_number_of_shelves),Panels (product.metafields.custom.dim_panels),Primary material (product.metafields.custom.dim_primary_material),Product dimension (product.metafields.custom.dim_product_dimension),Seating capacity (product.metafields.custom.dim_seating_capacity),Seat depth (product.metafields.custom.dim_seat_depth),Seat height (product.metafields.custom.dim_seat_height),Style (product.metafields.custom.dim_style),Three-seater (product.metafields.custom.dim_three_seater),Type (product.metafields.custom.dim_type),Weight capacity (product.metafields.custom.dim_weight_capacity),Weight limit (product.metafields.custom.dim_weight_limit),Short Description (product.metafields.custom.short_description),Product rating count (product.metafields.reviews.rating_count),Backrest type (product.metafields.shopify.backrest-type),Backrest upholstery color (product.metafields.shopify.backrest-upholstery-color),Color (product.metafields.shopify.color-pattern),Frame color (product.metafields.shopify.frame-color),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Seat type (product.metafields.shopify.seat-type),Seat upholstery color (product.metafields.shopify.seat-upholstery-color),Suitable location (product.metafields.shopify.suitable-location),Tabletop color (product.metafields.shopify.tabletop-color),Upholstery color (product.metafields.shopify.upholstery-color),Wood finish (product.metafields.shopify.wood-finish),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
heritage-cane-sofa-set,Heritage Cane Sofa Set,"<p>Bring timeless elegance to your living space with this beautifully crafted Heritage Cane Sofa Set. Featuring premium quality cane and comfortable seating, it perfectly blends classic design with modern comfort.</p>",Dew's Furnitures,Furniture > Furniture Sets > Living Room Furniture Sets,"",New,true,Configuration,3-Seater + 2 Armchairs,,,,,,,,,0.0,shopify,10,deny,manual,1259.00,1599.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/living-room-set-front_6c867014-884e-4a54-b7b2-aedce96bd5ea.jpg?v=1788943858,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,"A three-piece set built around one idea — a frame light enough to move and solid enough to keep. Kiln-dried sheesham, hand-woven cane side panels, and removable linen cushions you can actually wash.",'1,,,,espresso; brown; beige,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1027/3760/8885/files/living-room-set-front_6c867014-884e-4a54-b7b2-aedce96bd5ea.jpg?v=1788943858,kg,,,active
heritage-cane-sofa-set,,,,,,,,,3-Seater Only,,,,,,,,,0.0,shopify,30,deny,manual,3359.00,1599.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/living-room-set-wide.jpg?v=1788947844,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1027/3760/8885/files/living-room-set-front_6c867014-884e-4a54-b7b2-aedce96bd5ea.jpg?v=1788943858,kg,,,
heritage-cane-sofa-set,,,,,,,,,1-Seater Accent,,,,,,,,,0.0,shopify,60,deny,manual,2359.00,1599.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/accent-chair-cane-front_f56a3152-64d4-48ad-8011-7e1e8dc2c165.jpg?v=1788943860,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1027/3760/8885/files/accent-chair-cane-front_f56a3152-64d4-48ad-8011-7e1e8dc2c165.jpg?v=1788943860,kg,,,
heritage-cane-sofa-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/armchair-linen-front_a60be079-ebf4-41ff-bd3a-13efbaeec65f.jpg?v=1788943860,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-cane-sofa-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/Hand-woven_cane.png?v=1788948513,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid-wood-1-seater-sofa-brown-finish,Solid Wood 1 Seater Sofa – Brown Finish,"<h4 class=""a-size-base-plus a-text-bold"">About this item</h4>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item""> Product Dimension Inner:- Length (21 in) x Depth (24 in). Outer:- Length (29 in) x Depth (30 in) </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> Product Material: Sheesham Wood, Colour: Brown Finish, Style: Contemporary, Seating Capacity: 1 Seater </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> Warranty: The product comes with 10 Days Replacement and 12 Months warranty against any Damaged and Manufacturing Defects. </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> The Sofa is a great addition to any home. With Luxury seats and a beautifully finished wood frame, you can't go wrong with this Sofa for living room. </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> The Product Requires Basic Self Assembly At Customers End And Comes With Self Assembly Instructions Along With Necessary Accessories. Also can book a Free of Cost Assembly service by using the link </span></li>
</ul>",Dew's Furniture,"Furniture > Chairs > Armchairs, Recliners & Sleeper Chairs > Armchairs","","1 Seater Sofa, brown, Living room, New, Sheesham wood, Sofa",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,8791.00,13254.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/LifestyleView.png?v=1789120003,1,"",false,,,,B08KZNTCSP,,Brown,,,16 Inches, 35 kg , 28 Inches ,,,,,Sheesham Wood, 76D x 78W x 55H Centimeters , 1.00 ,55.9 Centimeters,16 Inches,Asian,, Standard ,, 90 Kilograms ," Product Dimension Inner:- Length (21 in) x Depth (24 in). Outer:- Length (29 in) x Depth (30 in) Product Material: Sheesham Wood, Colour: Brown Finish, Style: Contemporary, Seating Capacity: 1 Seater ",,hard,,brown,,,,upholstered-padded,,,,,lacquered-varnished,,,,,,kg,,,active
solid-wood-1-seater-sofa-brown-finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/514gNWp0YML._SL1500.jpg?v=1789120030,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid-wood-1-seater-sofa-brown-finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/61DTEtB_zfL._SL1500.jpg?v=1789120060,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid-wood-1-seater-sofa-brown-finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/61TJClca_lL._SL1500.jpg?v=1789120063,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheesham-wood-one-seater-sofa-brown,Sheesham Wood One Seater Sofa – Brown,"<h2 class=""a-size-base-plus a-text-bold"">About this item</h2>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item""> Product Dimensions(Inch) : Height (31 In) x Width (31 In) x Length (30 In) </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> Primary Material: Sheesham Wood, Colour: Brown Finish, Style: Contemporary, Seating Capacity: 1 Seater </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> Warranty: The product comes with 10 Days Replacement and 12 Months warranty against any Damaged and Manufacturing Defects. </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> The Sofa is a great addition to any home. With Luxury seats and a beautifully finished wood frame, you can't go wrong with this Sofa for living room. </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> The Product Requires Basic Self Assembly At Customers End And Comes With Self Assembly Instructions Along With Necessary Accessories. Also can book a Free of Cost Assembly service by using the link </span></li>
</ul>",Dew's Furniture,"Furniture > Chairs > Armchairs, Recliners & Sleeper Chairs > Armchairs","","1 Seater Sofa, brown, Living room, New, Sheesham wood, Sofa",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,12495.00,18153.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/LifestyleView_abadae32-33cf-4b8d-a273-487bb4e5dedf.png?v=1789120458,1,"",false,,,,B08KZMLJMH,,Brown,,,, 30 kg , 5 Inches ,,,,,, 76.2D x 78.7W x 78.7H Centimeters, 1.00 , 55.9 Centimeters , 14 Inches ,Asian,, Standard ,1.00, 100 Kilograms ," Product Dimensions(Inch) : Height (31 In) x Width (31 In) x Length (30 In) Primary Material: Sheesham Wood, Colour: Brown Finish, Style: Contemporary, Seating Capacity: 1 Seater ",,padded,,brown,,,,upholstered-padded,,,,,lacquered-varnished,,,,,,kg,,,active
