Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Armchair (each) (product.metafields.custom.dim_armchair),ASIN code (product.metafields.custom.dim_asin_code),Assembly (product.metafields.custom.dim_assembly),Colour (product.metafields.custom.dim_colour),Cushion fill (product.metafields.custom.dim_cushion_fill),Folding (product.metafields.custom.dim_folding),Frame (product.metafields.custom.dim_frame),Item weight (product.metafields.custom.dim_item_weight),Leg length (product.metafields.custom.dim_leg_length),Number of cabinets (product.metafields.custom.dim_number_of_cabinets),Number of drawers (product.metafields.custom.dim_number_of_drawers),Number of shelves (product.metafields.custom.dim_number_of_shelves),Panels (product.metafields.custom.dim_panels),Primary material (product.metafields.custom.dim_primary_material),Product dimension (product.metafields.custom.dim_product_dimension),Seating capacity (product.metafields.custom.dim_seating_capacity),Seat depth (product.metafields.custom.dim_seat_depth),Seat height (product.metafields.custom.dim_seat_height),Style (product.metafields.custom.dim_style),Three-seater (product.metafields.custom.dim_three_seater),Type (product.metafields.custom.dim_type),Weight capacity (product.metafields.custom.dim_weight_capacity),Weight limit (product.metafields.custom.dim_weight_limit),Short Description (product.metafields.custom.short_description),Product rating count (product.metafields.reviews.rating_count),Backrest type (product.metafields.shopify.backrest-type),Backrest upholstery color (product.metafields.shopify.backrest-upholstery-color),Color (product.metafields.shopify.color-pattern),Frame color (product.metafields.shopify.frame-color),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Seat type (product.metafields.shopify.seat-type),Seat upholstery color (product.metafields.shopify.seat-upholstery-color),Suitable location (product.metafields.shopify.suitable-location),Tabletop color (product.metafields.shopify.tabletop-color),Upholstery color (product.metafields.shopify.upholstery-color),Wood finish (product.metafields.shopify.wood-finish),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sheesham-wood-two-seater-sofa-brown-finish-with-storage-cushions,Sheesham Wood Two Seater Sofa – Brown Finish with Storage & Cushions,"<h4 class=""a-size-base-plus a-text-bold"">About this item</h4>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item""> Product Dimensions: Height: 25 inches (63 cm), Length: 47 inches (119 cm), Width: 18 inches (45 cm</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> Primary Material: Solid Sheesham Wood; 12 Month Warranty Against Any Manufacturing Defects</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> The Sofa is a great addition to any home. With Luxury seats and a beautifully finished wood frame, you can't go wrong with this Sofa for living room.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> The Product Requires Basic Self Assembly At Customers End And Comes With Self Assembly Instructions Along With Necessary Accessories.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> Item Weight: 35.0; Arm Style: Padded; Care Instructions: Wipe Clean With Dry Cloth; Seating Capacity: 2.0; Style Name: Modern; Item Shape: Rectangular </span></li>
</ul>",Dew's Furniture,Furniture > Benches > Storage & Entryway Benches > Upholstered Storage Benches,"","2 Seater Sofa, brown, Living room, Sofa, Solid sheesham, Storage",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,16624.00,29499.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/Lifestyle-View-2.jpg?v=1789184822,1,"",false,,,,B08L1BZZ5J,, Walnut Finish ,,Yes,, 35 kg ,,,,,,Solid Sheesham Wood, 45.7D x 119.4W x 63.5H Centimeters , 2 , 40.6 Centimeters , 20 Inches ,Modern,, Sofa Bed ,, 250 Kilograms ,"Product Dimensions: Height: 25 inches (63 cm), Length: 47 inches (119 cm), Width: 18 inches (45 cm  Primary Material: Solid Sheesham Wood; 12 Month Warranty Against Any Manufacturing Defects",,,,,,,,,brown,,,,,,,,,,kg,,,active
sheesham-wood-two-seater-sofa-brown-finish-with-storage-cushions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/71dxMNCDK_L._SL1500.jpg?v=1789184872,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheesham-wood-two-seater-sofa-brown-finish-with-storage-cushions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/61WNN21iB5L._SL1500.jpg?v=1789184894,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheesham-wood-two-seater-sofa-brown-finish-with-storage-cushions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/71VoZ8kEpWL._SL1500.jpg?v=1789184916,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheesham-wood-two-seater-sofa-brown-finish-with-storage-cushions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/713hN3IRkLL._SL1500.jpg?v=1789185008,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheesham-wood-two-seater-sofa-brown-finish-with-storage-cushions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/71VhQV0SotL._SL1500.jpg?v=1789185111,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheesham-wood-two-seater-sofa-honey-finish-with-2-door-storage,Sheesham Wood Two Seater Sofa – Honey Finish with 2-Door Storage,"<h4 class=""a-size-base-plus a-text-bold"">About this item</h4>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item""> Product Dimensions: Height: 25 inches (63 cm), Length: 47 inches (119 cm), Width: 18 inches (45 cm) </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> Two Seater Sofa Material:- Sheesham Wood And Fabric, Color:-Honey, Style:- Contemporary </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> Warranty: The product comes with 10 Days Replacement and 12 Months warranty against any Damaged and Manufacturing Defects. </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> The Sofa is a great addition to any home. With Luxury seats and a beautifully finished wood frame, you can't go wrong with this Sofa for living room. </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> The 2 Seater Sofa Set Couch Furniture is a Great Addition to Any Home with Luxury Seats and a Beautifully finished wood frame, The Sofa is perfect for Home Sofa Set for Living Room Bedroom Sofa Office Hall </span></li>
</ul>",Dew's Furniture,Furniture > Benches > Storage & Entryway Benches > Upholstered Storage Benches,"","2 Seater Sofa, Honey, Living room, Sofa, Storage",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,40400.00,47526.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/Lifestyle-View-3.png?v=1789186500,1,"",false,,,,B08L1DF278,, Honey Finish ,,,, 35 kg ,,,,,,Sheesham Wood And Fabric, 45.7D x 119.4W x 63.5H Centimeters , 2 ,, 40 Centimetres , Modern ,, Sofa Bed ,,," Product Dimensions: Height: 25 inches (63 cm), Length: 47 inches (119 cm), Width: 18 inches (45 cm) Two Seater Sofa Material:- Sheesham Wood And Fabric, Color:-Walnut, Style:- Contemporary ",,,,honey,,,,,,,,,,,,,,,kg,,,active
sheesham-wood-two-seater-sofa-honey-finish-with-2-door-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/61i2jK-oVcL._SL1500.jpg?v=1789186751,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheesham-wood-two-seater-sofa-honey-finish-with-2-door-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/610EZ7-BH_L._SL1500.jpg?v=1789186752,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheesham-wood-two-seater-sofa-honey-finish-with-2-door-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/71N_qSPJqGL._SL1500.jpg?v=1789186768,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid-sheesham-wood-three-seater-sofa-brown-finish,Solid Sheesham Wood Three Seater Sofa – Brown Finish,"<h4 class=""a-size-base-plus a-text-bold"">About this item</h4>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item""> Product Dimensions(Inch) : Height (29 In) x Width (30.5 In) x Length (74 In) </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> Primary Material: Sheesham Wood, Colour: Brown Finish, Style: Contemporary, Seating Capacity: 3 Seater </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> Warranty: The product comes with 10 Days Replacement and 12 Months warranty against any Damaged and Manufacturing Defects. </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> The Sofa is a great addition to any home. With Luxury seats and a beautifully finished wood frame, you can't go wrong with this Sofa for living room. </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> sofa set | wooden sofa set furniture | wooden sofa | sofa set 3 seater | wooden sofa set | 3 seater sofa set | sofa 3 seater | sofa set for living room low price | wooden sofa set furniture 3 seater | sofa 3 seater living room | sofa set living room | sofa set living room furniture | sheesham wood sofa set | sofa set 3 | three seater sofa set </span></li>
</ul>",Dew's Furniture,Furniture > Sofas > Sectional Sofas,"","3 Seater Sofa, brown, Living room, Sheesham wood, Sofa",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,21999.00,28999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/Lifestyle-View-4.png?v=1789187527,1,"",false,,,,B08KZM6Q61,, Brown ,,,, 45 kg ,,,,,,Sheesham Wood, 188D x 77.5W x 73.7H Centimeters , 3 ,,, Asian ,," Standard , Living Room ",,," Product Dimensions(Inch) : Height (29 In) x Width (30.5 In) x Length (74 In) Primary Material: Sheesham Wood, Colour: Brown Finish, Style: Contemporary, Seating Capacity: 3 Seater ",,,,,,,,,cream,,,,,,,,,,kg,,,active
solid-sheesham-wood-three-seater-sofa-brown-finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/61hIU_Cx4NL._SL1500.jpg?v=1789186898,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid-sheesham-wood-three-seater-sofa-brown-finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/61VRX3eQM4L._SL1370.jpg?v=1789186912,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid-sheesham-wood-three-seater-sofa-brown-finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/61U4PKGkgFL._SL1500.jpg?v=1789186929,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid-sheesham-wood-three-seater-sofa-brown-finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/61kNmpX6uyL._SL1500.jpg?v=1789186947,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid-sheesham-wood-three-seater-sofa-brown-finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/71LZY5kJq_L._SL1500.jpg?v=1789186988,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid-sheesham-wood-three-seater-sofa-brown-finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1027/3760/8885/files/71ZWigc8NDL._SL1500.jpg?v=1789187004,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
